Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
154000.0 ; 4.454281
155000.0 ; 4.373399
156000.0 ; 4.321277
158000.0 ; 4.271141
160000.0 ; 4.248441
165000.0 ; 4.220409
170000.0 ; 4.202104
175000.0 ; 4.186101
180000.0 ; 4.171201
200000.0 ; 4.1159
225000.0 ; 4.0484
250000.0 ; 3.9828
275000.0 ; 3.9182
300000.0 ; 3.8551
325000.0 ; 3.7937
350000.0 ; 3.7338
375000.0 ; 3.6753
400000.0 ; 3.6182
425000.0 ; 3.5626
450000.0 ; 3.5082
475000.0 ; 3.4551
500000.0 ; 3.4033
525000.0 ; 3.3527
550000.0 ; 3.3032
575000.0 ; 3.2549
600000.0 ; 3.2076
625000.0 ; 3.1615
650000.0 ; 3.1163
675000.0 ; 3.0722
700000.0 ; 3.029
725000.0 ; 2.9868
750000.0 ; 2.9454
775000.0 ; 2.905
800000.0 ; 2.8654
825000.0 ; 2.8267
850000.0 ; 2.7888
875000.0 ; 2.7517
900000.0 ; 2.7154
925000.0 ; 2.6798
950000.0 ; 2.645
975000.0 ; 2.6108
1000000.0 ; 2.5774
1050000.0 ; 2.512499
1100000.0 ; 2.450299
1150000.0 ; 2.390499
1200000.0 ; 2.333099
1250000.0 ; 2.277899
1300000.0 ; 2.224898
1350000.0 ; 2.173898
1400000.0 ; 2.124997
1450000.0 ; 2.077997
1500000.0 ; 2.032797
1550000.0 ; 1.988796
1600000.0 ; 1.946496
1650000.0 ; 1.905896
1680000.0 ; 1.881895
1700000.0 ; 1.865496
1710000.0 ; 1.857398
1720000.0 ; 1.850712
1730000.0 ; 1.854726
1736000.0 ; 1.862434
1740000.0 ; 1.854395
1750000.0 ; 1.832719
1760000.0 ; 1.824399
1770000.0 ; 1.817995
1780000.0 ; 1.811494
1790000.0 ; 1.804795
1800000.0 ; 1.797995
1820000.0 ; 1.784395
1850000.0 ; 1.764395
1900000.0 ; 1.731895
1950000.0 ; 1.700595
2000000.0 ; 1.670399
2025000.0 ; 1.659094
2050000.0 ; 1.684894
2052000.0 ; 1.695094
2053000.0 ; 1.701994
2054000.0 ; 1.708894
2056000.0 ; 1.727794
2058000.0 ; 1.754194
2060000.0 ; 1.791794
2061000.0 ; 1.816494
2062000.0 ; 1.846694
2063000.0 ; 1.883594
2064000.0 ; 1.929394
2065000.0 ; 1.986794
2066000.0 ; 2.059494
2067000.0 ; 2.152494
2068000.0 ; 2.273594
2069000.0 ; 2.432794
2070000.0 ; 2.644894
2071000.0 ; 2.929694
2072000.0 ; 3.312194
2073000.0 ; 3.817594
2074000.0 ; 4.451094
2075000.0 ; 5.156494
2076000.0 ; 5.766394
2077000.0 ; 6.043494
2078000.0 ; 5.871894
2079000.0 ; 5.372794
2080000.0 ; 4.765394
2081000.0 ; 4.198894
2082000.0 ; 3.728194
2083000.0 ; 3.355894
2084000.0 ; 3.065794
2085000.0 ; 2.839894
2086000.0 ; 2.662594
2087000.0 ; 2.521794
2088000.0 ; 2.408494
2089000.0 ; 2.316594
2090000.0 ; 2.240694
2091000.0 ; 2.177594
2092000.0 ; 2.124494
2093000.0 ; 2.079394
2094000.0 ; 2.040694
2095000.0 ; 2.007294
2096000.0 ; 1.978294
2097000.0 ; 1.952794
2098000.0 ; 1.930294
2099000.0 ; 1.910394
2100000.0 ; 1.892594
2102000.0 ; 1.862394
2104000.0 ; 1.837594
2106000.0 ; 1.816994
2108000.0 ; 1.799594
2110000.0 ; 1.784794
2112000.0 ; 1.772094
2114000.0 ; 1.760894
2116000.0 ; 1.751094
2118000.0 ; 1.742394
2120000.0 ; 1.734694
2140000.0 ; 1.686293
2160000.0 ; 1.661093
2180000.0 ; 1.644493
2200000.0 ; 1.631993
2220000.0 ; 1.621893
2240000.0 ; 1.613592
2260000.0 ; 1.606492
2280000.0 ; 1.600392
2300000.0 ; 1.595292
2320000.0 ; 1.591092
2340000.0 ; 1.587791
2360000.0 ; 1.585291
2380000.0 ; 1.583691
2400000.0 ; 1.582891
2420000.0 ; 1.583091
2440000.0 ; 1.58429
2460000.0 ; 1.58659
2480000.0 ; 1.58989
2500000.0 ; 1.59449
2520000.0 ; 1.60039
2540000.0 ; 1.607689
2553000.0 ; 1.613389
2560000.0 ; 1.616489
2580000.0 ; 1.626989
2600000.0 ; 1.639489
2620000.0 ; 1.653989
2640000.0 ; 1.670889
2660000.0 ; 1.690489
2680000.0 ; 1.713188
2700000.0 ; 1.739588
2720000.0 ; 1.770188
2740000.0 ; 1.805888
2760000.0 ; 1.847788
2780000.0 ; 1.897888
2785000.0 ; 1.911988
2790000.0 ; 1.926988
2795000.0 ; 1.943087
2800000.0 ; 1.961087
2802000.0 ; 1.969287
2804000.0 ; 1.978587
2806000.0 ; 1.990287
2808000.0 ; 2.006987
2810000.0 ; 2.038887
2811000.0 ; 2.071787
2812000.0 ; 2.139987
2813000.0 ; 2.327987
2814000.0 ; 3.160487
2815000.0 ; 5.070887
2816000.0 ; 2.776187
2817000.0 ; 2.289487
2818000.0 ; 2.158887
2819000.0 ; 2.108987
2820000.0 ; 2.086287
2822000.0 ; 2.069687
