Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
10000.0 ; 3.830012
12500.0 ; 3.824513
15000.0 ; 3.819114
17500.0 ; 3.813666
20000.0 ; 3.808217
22500.0 ; 3.802818
25000.0 ; 3.797419
27500.0 ; 3.79207
30000.0 ; 3.78672
32500.0 ; 3.781396
35000.0 ; 3.776072
35300.0 ; 3.775433
36475.0 ; 3.772931
37650.0 ; 3.770428
40000.0 ; 3.765424
45000.0 ; 3.754875
50000.0 ; 3.744326
62500.0 ; 3.71843
75000.0 ; 3.693032
87500.0 ; 3.668135
100000.0 ; 3.643738
113910.0 ; 3.617589
125000.0 ; 3.596742
138200.0 ; 3.573459
150000.0 ; 3.552647
165360.0 ; 3.527826
175000.0 ; 3.512252
189650.0 ; 3.491683
200000.0 ; 3.477156
215380.0 ; 3.459546
220000.0 ; 3.454261
235390.0 ; 3.441717
240000.0 ; 3.437966
255390.0 ; 3.432962
260000.0 ; 3.431473
275400.0 ; 3.438014
280000.0 ; 3.439984
295410.0 ; 3.465402
300000.0 ; 3.472994
310000.0 ; 3.503798
320000.0 ; 3.54881
324000.0 ; 3.574588
330000.0 ; 3.613328
334000.0 ; 3.650255
340000.0 ; 3.705754
344000.0 ; 3.759104
350000.0 ; 3.839294
355000.0 ; 3.937217
360000.0 ; 4.035359
365000.0 ; 4.182734
370000.0 ; 4.330471
375000.0 ; 4.55976
380000.0 ; 4.789673
385000.0 ; 5.161499
390000.0 ; 5.534452
395000.0 ; 6.163961
397500.0 ; 6.479082
400000.0 ; 6.795102
402500.0 ; 7.266334
405000.0 ; 7.739315
407500.0 ; 8.358602
410000.0 ; 8.979751
415000.0 ; 10.56948
420000.0 ; 12.48293
425000.0 ; 14.49047
427500.0 ; 15.2778
430000.0 ; 16.06064
432610.0 ; 16.32223
435000.0 ; 16.55499
437500.0 ; 16.1618
440000.0 ; 15.76217
445000.0 ; 14.10394
450000.0 ; 12.20604
455000.0 ; 10.47138
457500.0 ; 9.755014
460000.0 ; 9.0405
462500.0 ; 8.474797
465000.0 ; 7.910791
470000.0 ; 7.031875
475000.0 ; 6.347497
480000.0 ; 5.810358
485000.0 ; 5.383953
490000.0 ; 5.041275
495000.0 ; 4.762316
500000.0 ; 4.532519
510000.0 ; 4.179405
520000.0 ; 3.923651
530000.0 ; 3.731617
540000.0 ; 3.582695
550000.0 ; 3.463981
560000.0 ; 3.36727
570000.0 ; 3.286663
580000.0 ; 3.218358
590000.0 ; 3.159553
600000.0 ; 3.108254
620000.0 ; 3.022552
640000.0 ; 2.953346
660000.0 ; 2.895942
680000.0 ; 2.847839
700000.0 ; 2.807336
720000.0 ; 2.773934
740000.0 ; 2.747633
760000.0 ; 2.729133
780000.0 ; 2.720034
800000.0 ; 2.723137
820000.0 ; 2.743143
840000.0 ; 2.787855
860000.0 ; 2.870678
880000.0 ; 3.015123
900000.0 ; 3.264243
910000.0 ; 3.450839
920000.0 ; 3.697882
930000.0 ; 4.025536
940000.0 ; 4.458391
950000.0 ; 5.021519
960000.0 ; 5.727469
970000.0 ; 6.508256
980000.0 ; 7.363644
990000.0 ; 7.969056
1000000.0 ; 8.153046
1010000.0 ; 7.869677
1020000.0 ; 7.267242
1030000.0 ; 6.551469
1040000.0 ; 5.865611
1050000.0 ; 5.271539
1060000.0 ; 4.780816
1070000.0 ; 4.383078
1080000.0 ; 4.061843
1090000.0 ; 3.801512
1100000.0 ; 3.58879
1110000.0 ; 3.414007
1120000.0 ; 3.267756
1130000.0 ; 3.145098
1140000.0 ; 3.042237
1150000.0 ; 2.954844
1160000.0 ; 2.880129
1170000.0 ; 2.8174
1180000.0 ; 2.764426
1190000.0 ; 2.722036
1200000.0 ; 2.688728
1210000.0 ; 2.666962
1220000.0 ; 2.658046
1230000.0 ; 2.667555
1240000.0 ; 2.698796
1250000.0 ; 2.768454
1260000.0 ; 2.899172
1270000.0 ; 3.137402
1280000.0 ; 3.573322
1285000.0 ; 3.913081
1290000.0 ; 4.366657
1295000.0 ; 4.948211
1300000.0 ; 5.628782
1305000.0 ; 6.285737
1310000.0 ; 6.69748
1315000.0 ; 6.680042
1320000.0 ; 6.265291
1330000.0 ; 5.038801
1340000.0 ; 4.073839
1350000.0 ; 3.468297
1360000.0 ; 3.090844
1370000.0 ; 2.844401
1380000.0 ; 2.674423
1390000.0 ; 2.551079
1400000.0 ; 2.457509
1450000.0 ; 2.194268
1500000.0 ; 2.057023
1550000.0 ; 1.961414
1600000.0 ; 1.890326
1620000.0 ; 1.880478
1630000.0 ; 1.902914
1640000.0 ; 2.069643
1642500.0 ; 2.2356
1643750.0 ; 2.387376
1645000.0 ; 2.634233
1645625.0 ; 2.837514
1645938.0 ; 2.942862
1646250.0 ; 3.100603
1646875.0 ; 3.448636
1647032.0 ; 3.555761
1647188.0 ; 3.702454
1647500.0 ; 4.009104
1647813.0 ; 4.316842
1647969.0 ; 4.478408
1648125.0 ; 4.688652
1648438.0 ; 5.16064
1648750.0 ; 5.732012
1650000.0 ; 8.359456
1650500.0 ; 8.880756
1650797.0 ; 8.760835
1650946.0 ; 8.664433
1651094.0 ; 8.467051
1651391.0 ; 7.917271
1651688.0 ; 7.287985
1651985.0 ; 6.622766
1652282.0 ; 6.058749
1652875.0 ; 4.965091
1653024.0 ; 4.721506
1653172.0 ; 4.547113
1653469.0 ; 4.225
1654063.0 ; 3.614462
1654657.0 ; 3.246985
1654954.0 ; 3.067969
1655250.0 ; 2.946125
1655844.0 ; 2.730498
1656438.0 ; 2.57376
1657032.0 ; 2.44176
1657625.0 ; 2.350649
1658813.0 ; 2.208275
1660000.0 ; 2.113741
1662500.0 ; 2.0209
1665000.0 ; 1.929871
1670000.0 ; 1.861394
1680000.0 ; 1.80462
1685000.0 ; 1.789508
1690000.0 ; 1.983072
1695000.0 ; 1.766199
1700000.0 ; 1.756004
1720000.0 ; 1.722904
1740000.0 ; 1.692398
1760000.0 ; 1.660694
1780000.0 ; 1.624786
1800000.0 ; 1.579354
1820000.0 ; 1.57036
1822500.0 ; 1.6251
1823750.0 ; 1.673601
1825000.0 ; 1.7682
1825625.0 ; 1.821263
1825938.0 ; 1.848809
1826250.0 ; 1.901389
1827500.0 ; 2.142826
1827813.0 ; 2.203324
1828125.0 ; 2.293354
1828750.0 ; 2.560814
1830000.0 ; 3.10325
1831500.0 ; 4.066703
1831875.0 ; 4.306451
1832250.0 ; 4.474398
1833000.0 ; 4.723499
1833875.0 ; 4.666314
1834750.0 ; 4.386498
1836500.0 ; 3.677148
1837375.0 ; 3.369711
1838250.0 ; 3.115975
1839125.0 ; 2.911288
1840000.0 ; 2.748413
1842500.0 ; 2.4403
1843750.0 ; 2.33405
1845000.0 ; 2.2552
1847500.0 ; 2.136625
1850000.0 ; 2.057133
1855000.0 ; 1.96665
1860000.0 ; 1.921717
1865000.0 ; 1.906751
1870000.0 ; 1.91637
1875000.0 ; 1.953535
1880000.0 ; 2.028759
1885000.0 ; 2.162147
1890000.0 ; 2.38387
1900000.0 ; 3.064628
1905000.0 ; 3.180289
1910000.0 ; 2.958705
1915000.0 ; 2.625257
1920000.0 ; 2.348208
1925000.0 ; 2.152181
1930000.0 ; 2.01705
1935000.0 ; 1.921963
1940000.0 ; 1.852943
1950000.0 ; 1.760405
1960000.0 ; 1.701354
1970000.0 ; 1.659531
1980000.0 ; 1.627619
1990000.0 ; 1.601712
2000000.0 ; 1.579617
2050000.0 ; 1.4952
2100000.0 ; 1.4221
2150000.0 ; 1.339
2200000.0 ; 1.2206
2220000.0 ; 1.1522
2240000.0 ; 1.0625
2260000.0 ; 0.94154
2280000.0 ; 0.77735
2300000.0 ; 0.56336
2305000.0 ; 0.5036
2310000.0 ; 0.44276
2315000.0 ; 0.38206
2320000.0 ; 0.32304
2321000.0 ; 0.3116
2322000.0 ; 0.30031
2323000.0 ; 0.2892
2324000.0 ; 0.27828
2325000.0 ; 0.26756
2326000.0 ; 0.25706
2327000.0 ; 0.24681
2328000.0 ; 0.23681
2329000.0 ; 0.22708
2330000.0 ; 0.21764
2331000.0 ; 0.20851
2332000.0 ; 0.19971
2333000.0 ; 0.19124
2334000.0 ; 0.18313
2335000.0 ; 0.17539
